Cosmic Watch Muon Detector
Device ID: Kingswood College A
Firmware version: 2.3.2
Compiled: Aug 10 2019 at 18:06:55
Official website: http://cosmicwatch.lns.mit.edu/
This firmware can be found at: https://github.com/jgOhYeah/NonOfficial-StuffForCosmicWatchMuonDetectors

Master
Count Time_Stamp_ms Measured_ADC_0-1023 SIPM_Voltage_mV Dead_Time_ms Temperature_C
214 316181 188 32.0 19060 22.2
215 317990 243 41.7 19172 22.2
216 318420 60 17.4 19249 22.2
217 320999 127 24.2 19358 22.7
218 325703 83 20.5 19577 22.2
219 325769 124 23.9 19601 22.2
220 326137 384 80.1 19625 22.2
221 327804 409 91.1 19734 22.2
222 329081 131 24.5 19806 22.2
223 331738 188 32.0 19915 22.3
224 332022 88 21.0 19987 22.3
225 333010 96 21.7 20059 22.2
226 333234 76 19.7 20083 22.2
227 333337 216 36.8 20115 22.3
228 334387 295 51.7 20187 22.2
229 334591 56 16.8 20211 22.3
230 336821 319 57.6 20320 22.2
231 339088 120 23.6 20429 22.2
232 340611 543 165 20538 21.5
233 344960 103 22.2 20721 22.2
234 347306 110 22.8 20830 22.2
235 349697 78 19.9 20975 22.2
236 350097 71 19.1 20999 22.2
237 351037 271 46.9 21071 22.2
238 352177 199 33.9 21144 22.2
239 352540 198 33.7 21168 22.3
240 353453 188 32.0 21240 22.2
241 358963 56 16.8 21459 22.2
242 361435 56 16.8 21606 22.2
243 362034 384 80.1 21658 22.2
244 362646 135 24.9 21730 22.2
245 365288 127 24.2 21876 22.2
246 367964 252 43.4 21985 22.2
247 368555 486 136 22057 21.5
248 372303 92 21.3 22202 22.2
249 373495 127 24.2 22274 22.2
250 373821 327 59.3 22347 22.2
251 375585 79 20.0 22419 22.7
252 375945 112 22.9 22491 22.2
253 375981 103 22.2 22515 22.2
254 376160 121 23.7 22539 22.2
255 376586 88 21.0 22563 22.2
256 377015 67 18.5 22635 22.2
257 377217 79 20.0 22659 22.2
258 379750 56 16.8 22768 22.2
259 385370 126 24.1 23050 22.2
260 386370 184 31.4 23122 22.2
261 388547 273 47.3 23231 22.2
262 392265 88 21.0 23377 22.2
263 400644 224 38.3 23708 22.2
264 403902 192 32.7 23891 22.3
265 404514 195 33.2 23915 22.3
266 405590 198 33.7 23987 22.2
267 405645 131 24.5 24011 22.2
268 405756 105 22.4 24035 22.2
269 406853 167 28.8 24107 22.3
270 407918 62 17.8 24179 22.2
271 408320 99 21.9 24252 22.3
272 409548 572 184 24324 21.5
273 409643 83 20.5 24348 22.2
274 409964 627 249 24372 22.0
275 411776 172 29.5 24489 22.7
276 413951 99 21.9 24607 22.2
277 419223 161 27.9 24832 22.2
278 419846 112 22.9 24904 22.2
279 420443 124 23.9 24928 22.2
280 421823 163 28.2 25037 22.2
281 423195 204 34.7 25109 22.2
282 425152 60 17.4 25218 22.2
283 427142 241 41.4 25327 22.2
284 427172 531 161 25351 21.5
285 428341 63 17.9 25423 22.2
286 428583 231 39.5 25447 22.7
287 429068 551 165 25519 21.5
288 429182 369 73.4 25543 22.2
289 432694 300 52.8 25689 22.2
290 433504 99 21.9 25761 22.3
291 434545 209 35.6 25833 22.2
292 436248 108 22.6 25951 22.7
293 437575 115 23.2 26023 22.2
294 440808 79 20.0 26169 22.2
295 440955 108 22.6 26193 22.2
296 441643 78 19.9 26265 22.7
297 448402 275 47.7 26522 22.2
298 449436 60 17.4 26594 22.2
299 449616 295 51.7 26618 22.2
300 450889 259 44.7 26727 22.3
301 453618 184 31.4 26836 22.2
302 453982 65 18.2 26908 22.2
303 455189 472 126 26980 21.5
304 459384 71 19.1 27163 22.2
305 459641 448 112 27187 21.9
306 469045 83 20.5 27555 22.2
307 469551 115 23.2 27627 22.2
308 470265 403 89.0 27658 22.2
309 470350 135 24.9 27682 22.2
310 472493 143 25.7 27791 22.2
311 474789 371 73.8 27936 22.2
312 476296 419 97.2 28008 22.2
313 479135 184 31.4 28153 22.2
314 479299 399 87.3 28177 22.2
315 482442 88 21.0 28323 22.2
316 483169 94 21.5 28395 22.2
317 484834 96 21.7 28467 22.3
318 485831 316 56.8 28539 22.2
319 486702 192 32.7 28611 22.2
320 488115 472 126 28683 21.9
321 495181 224 38.3 28976 22.2
322 495478 135 24.9 29000 22.2
323 497831 79 20.0 29146 22.2
324 498103 184 31.4 29178 22.2
325 500548 207 35.3 29288 22.3
326 503113 176 30.1 29434 22.2
327 507877 79 20.0 29618 22.2
328 508973 94 21.5 29690 22.2
329 510523 127 24.2 29799 22.2
330 511392 79 20.0 29872 22.2
331 515465 332 61.2 30054 22.2
332 517512 483 133 30164 21.5
333 519618 49 15.5 30273 22.2
334 520680 102 22.2 30345 22.2
335 522269 355 68.3 30417 22.2
336 523996 103 22.2 30526 22.2
337 525589 287 50.2 30598 22.2
338 526189 332 61.2 30670 22.7
339 535402 71 19.1 31045 22.2
340 536734 83 20.5 31124 22.2
341 537785 167 28.8 31196 22.2
342 538837 60 17.4 31269 22.2
343 539117 124 23.9 31293 22.2
344 539414 103 22.2 31365 22.2
345 540577 51 15.9 31437 22.2
346 540901 94 21.5 31461 22.2
347 542346 79 20.0 31533 22.2
348 542889 96 21.7 31605 22.2
349 543424 63 17.9 31629 22.2
350 544080 51 15.9 31701 22.2
351 545553 56 16.8 31773 22.2
352 550473 94 21.5 31994 22.2
353 552120 112 22.9 32103 22.2
354 552514 92 21.3 32127 22.2
355 554259 54 16.4 32236 22.7
356 554590 384 80.1 32260 22.2
357 556131 152 26.8 32377 22.2
358 556289 295 51.7 32401 22.2
359 556589 255 44.0 32425 22.2
360 556744 167 28.8 32449 22.2
361 558400 88 21.0 32557 22.2
362 560719 192 32.7 32666 22.2
363 561014 115 23.2 32690 22.2
364 562166 192 32.7 32762 22.2
365 562877 108 22.6 32834 22.2
366 565223 172 29.5 32943 22.2
367 566794 56 16.8 33052 22.2
368 567626 327 59.3 33124 22.2
369 569430 255 44.0 33196 22.7
370 572486 208 35.4 33341 22.7
371 572765 856 998 33413 21.1
372 573329 344 64.7 33437 22.2
373 573721 56 16.8 33468 22.2
374 574942 275 47.7 33577 22.2
375 575179 188 32.0 33601 22.2
376 576548 83 20.5 33673 22.2
377 577553 142 25.6 33745 22.2
378 582883 220 37.6 33964 22.3
379 596191 668 291 34480 21.5
380 597465 65 18.2 34560 22.7
381 598238 103 22.2 34633 22.2
382 602089 399 87.3 34815 21.9
383 604320 216 36.8 34924 22.7
384 605916 207 35.3 34997 22.2
385 606482 184 31.4 35069 22.2
386 606799 188 32.0 35093 22.2
387 607799 63 17.9 35165 22.2
388 610384 527 156 35311 21.5
389 610471 337 62.3 35360 22.2
390 611331 152 26.8 35432 22.2
391 613458 302 53.3 35541 22.2
392 613542 147 26.2 35565 22.2
393 615285 67 18.5 35637 22.2
394 618199 67 18.5 35783 22.2
395 621232 83 20.5 35930 22.2
396 621443 103 22.2 36072 22.2
397 621936 184 31.4 36277 22.2
398 623336 236 40.4 36350 22.2
399 623404 423 97.4 36374 22.2
400 623474 241 41.4 36405 22.2
401 623814 71 19.1 36477 22.2
402 623976 78 19.9 36501 22.2
403 624899 51 15.9 36573 22.7
404 626089 254 43.8 36645 22.2
405 627704 54 16.4 36725 22.2
406 632225 51 15.9 36944 22.2
407 632971 152 26.8 36968 22.2
408 636703 92 21.3 37151 22.2
409 637680 79 20.0 37223 22.2
410 638014 63 17.9 37247 22.2
411 639391 88 21.0 37319 22.2
412 639813 248 42.7 37391 22.3
413 641414 94 21.5 37653 22.2
414 644312 344 64.7 37892 22.2
415 644405 49 15.5 37916 22.2
416 644803 56 16.8 37988 22.2
417 645551 179 30.6 38012 22.3
418 647011 152 26.8 38121 22.2
419 647434 344 64.7 38145 22.2
420 649630 143 25.7 38253 22.7
421 650257 103 22.2 38325 22.2
422 650996 131 24.5 38406 22.2
423 653414 71 19.1 38515 22.3
424 653958 126 24.1 38539 22.2
425 654615 120 23.6 38611 22.3
426 655388 79 20.0 38684 22.2
427 657294 92 21.3 38792 22.2
428 659345 334 61.4 38901 22.2
429 661004 63 17.9 38973 22.7
430 661247 216 36.8 38997 22.3
431 663386 70 18.9 39106 22.2
432 664361 103 22.2 39178 22.2
433 664917 163 28.2 39250 22.2
434 666982 339 63.0 39359 22.2
435 667030 179 30.6 39383 22.2
436 669880 355 68.3 39529 22.2
437 669923 76 19.7 39553 22.2
438 671529 184 31.4 39632 22.2
439 673161 95 21.6 39741 22.3
440 677983 51 15.9 39923 22.2
441 690154 103 22.2 40400 22.2
442 695451 268 46.3 40619 22.2
443 701739 71 19.1 40876 22.3
444 703388 444 109 40984 22.0
445 704100 76 19.7 41056 22.2
446 706471 211 36.0 41165 22.2
447 706958 728 431 41189 22.2
448 707994 131 24.5 41270 22.2
449 710052 103 22.2 41379 22.2
450 711733 496 144 41488 21.5
451 714320 127 24.2 41597 22.2
452 714708 96 21.7 41669 22.2
453 714831 152 26.8 41693 22.2
454 716640 376 76.4 41810 22.2
455 718723 291 51.0 41918 22.2
456 719057 305 53.9 41942 22.2
457 719475 300 52.8 41966 22.2
458 719596 172 29.5 41990 22.2
459 720469 103 22.2 42062 22.2
460 720663 103 22.2 42086 22.2
461 725605 199 33.9 42306 22.2
462 725689 134 24.8 42337 22.7
463 725908 97 21.7 42362 22.2
464 726731 188 32.0 42434 22.2
