Cosmic Watch Muon Detector
Device ID: Kingswood College B
Firmware version: 2.1.1 non official
Compiled: Jul 22 2018 at 15:06:55
Official website: http://cosmicwatch.lns.mit.edu/
This software can be found at: https://github.com/jgOhYeah/NonOfficial-StuffForCosmicWatchMuonDetectors

Master
Count,Time Stamp,Measured ADC,SIPM Voltage,Dead Time,Temperature C
252,154743,79,20.0,15550,19.6
253,154800,143,25.7,15575,19.6
254,155245,199,33.9,15668,19.6
255,155947,271,46.9,15693,19.6
256,156269,89,21.1,15785,19.6
257,157041,62,17.8,15810,19.6
258,158191,467,122,15902,18.2
259,158452,193,32.8,15995,19.6
260,158505,67,18.5,16019,19.6
261,158804,204,34.7,16044,19.6
262,162347,270,46.7,16204,19.6
263,163686,227,38.8,16330,19.6
264,164238,131,24.5,16356,19.6
265,165474,211,36.0,16459,19.6
266,166603,167,28.8,16550,19.6
267,166668,83,20.5,16576,19.6
268,166931,519,154,16667,18.2
269,167019,327,59.3,16694,19.6
270,168010,88,21.0,16784,19.6
271,168339,120,23.6,16810,19.6
272,168376,423,97.4,16835,18.8
273,169074,71,19.1,16932,19.6
274,169539,376,76.4,16954,18.8
275,169583,71,19.1,16981,19.6
276,169863,231,39.5,17004,19.6
277,170218,348,65.6,17099,19.6
278,170967,307,54.5,17122,19.6
279,171411,51,15.9,17217,19.6
280,171555,83,20.5,17241,19.6
281,171622,127,24.2,17276,19.6
282,172637,100,22.0,17372,19.6
283,172857,334,61.4,17395,19.6
284,173658,211,36.0,17661,19.6
285,173962,79,20.0,17682,19.6
286,174389,211,36.0,17776,19.6
287,174961,88,21.0,17800,19.6
288,175142,352,66.9,17827,19.6
289,175215,355,68.3,17850,19.6
290,175692,135,24.9,17945,19.6
291,176508,51,15.9,18036,19.6
292,178083,494,141,18130,18.2
293,178431,536,160,18154,17.5
294,179435,94,21.5,18249,19.6
295,180335,115,23.2,18341,19.6
296,181058,167,28.8,18438,19.6
297,181269,115,23.2,18472,19.6
298,182002,263,45.4,18563,19.6
299,182931,271,46.9,18659,19.6
300,183428,568,190,18681,18.2
301,184552,302,53.3,18777,19.6
302,184769,99,21.9,18801,19.6
303,185012,204,34.7,18898,19.6
304,185117,300,52.8,18922,19.6
305,185274,127,24.2,18949,19.6
306,185532,124,23.9,18971,19.6
307,185735,56,16.8,18997,19.6
308,185959,103,22.2,19019,19.6
309,186306,167,28.8,19115,19.6
310,186989,145,26.0,19139,19.6
311,187127,51,15.9,19236,19.6
312,187194,327,59.3,19260,19.6
313,187770,193,32.8,19294,19.6
314,188043,56,16.8,19317,19.6
315,190091,71,19.1,19443,19.6
316,191009,504,144,19534,18.5
317,191181,316,56.8,19560,19.6
318,191433,113,23.0,19653,19.6
319,192152,521,150,19680,17.5
320,192259,177,30.3,19703,19.6
321,192492,248,42.7,19797,19.6
322,192718,319,57.6,19818,19.6
323,192994,115,23.2,19844,19.6
324,193022,163,28.2,19865,19.6
325,193102,376,76.4,19893,19.3
326,193837,120,23.6,19984,19.6
327,196517,56,16.8,20114,19.6
328,196588,192,32.7,20137,19.6
329,198057,263,45.4,20271,19.6
330,198285,70,18.9,20294,19.6
331,198981,120,23.6,20385,19.6
332,199175,312,55.7,20409,19.6
333,199319,254,43.8,20435,19.6
334,200327,112,22.9,20530,19.6
335,200365,76,19.7,20554,19.6
336,200558,60,17.4,20578,19.6
337,200775,359,69.9,20601,19.6
338,201705,112,22.9,20693,19.6
339,202318,327,59.3,20785,19.6
340,202379,79,20.0,20810,19.6
341,202615,51,15.9,20835,19.6
342,202862,145,26.0,20860,19.6
343,203155,204,34.7,20954,19.6
344,203967,71,19.1,20978,19.6
345,204057,67,18.5,21009,19.6
346,204300,51,15.9,21103,19.6
347,204646,385,80.1,21126,18.8
348,206180,99,21.9,21219,19.6
349,206460,56,16.8,21312,19.6
350,206606,342,64.1,21338,19.6
351,206987,433,104,21362,18.5
352,207273,423,97.4,21387,18.8
353,209053,527,156,21513,17.5
354,210169,312,55.7,21606,19.6
355,211843,67,18.5,21734,19.6
356,212499,510,148,21759,17.7
357,215878,56,16.8,21954,19.6
358,216941,177,30.3,22049,19.6
359,218366,199,33.9,22142,19.6
360,218852,71,19.1,22167,19.6
361,219220,184,31.4,22259,19.6
362,219423,57,16.9,22292,19.6
363,220484,344,64.7,22385,19.6
364,220524,112,22.9,22411,19.6
365,220572,49,15.5,22436,19.6
366,221377,94,21.5,22531,19.6
